Sunnyside Export for FLC
Start date:,2/10/2026 12:00:00 AM
End date:,2/10/2026 12:00:00 AM

Timestamp,PYRANOMETER - GHI (Estimated POA),PYRANOMETER - GHI (GHI),PYRANOMETER - POA,WEATHER STATION - Ambient Temperature,BOM TEMPERATURE - Module Temperature 1,BOM TEMPERATURE - Module Temperature 1,Average AC Voltage,Total AC Current,Max wind speed - WEATHER STATION,Sunrise (site time),Sunset (site time),Tons of carbon dioxide,Trees planted,Production meter active power,Production meter net energy,POA,Expected power,WEATHER STATION - Ambient Temperature,BOM TEMPERATURE - Module Temperature 1,BOM TEMPERATURE - Module Temperature 1,METER - PRODUCTION,"PYRANOMETER - GHI, GHI Irradiance ","PYRANOMETER - POA, Sun (POA Temp comp)"
,Wh/m²,Wh/m²,Wh/m²,°F,°F,°F,V,A,mph,,,tons,Trees,kW,kWh,W/m²,kW,°F,°F,°F,Performance Index,W/m²,W/m²
2/10/2026 12:00:00 AM,0,-0.7559175,-0.2616675,26.48,19.814,19.094,289.5527,14.5179,0,2/10/2026 7:10:08 AM,2/10/2026 5:41:07 PM,0,0,-1.54627,0,-0.523335,0,26.48,19.814,19.094,,0,-1.04667
2/10/2026 12:15:00 AM,0,-0.4971675,-0.3106675,26.7817,20.552,20.45,289.1657,14.5218,2,2/10/2026 7:10:08 AM,2/10/2026 5:41:07 PM,0,0,-1.5305,0,-0.621335,0,26.7817,20.552,20.45,,0,-1.24267
2/10/2026 12:30:00 AM,0,-0.7506675,-0.2423332,27.3929,21.074,20.846,290.4097,14.5499,0,2/10/2026 7:10:08 AM,2/10/2026 5:41:07 PM,0,0,-1.53493,0,-0.4846665,0,27.3929,21.074,20.846,,0,-0.969333
2/10/2026 12:45:00 AM,0,-0.54475,-0.4305,30.1934,23.858,23.342,290.4233,14.5544,3,2/10/2026 7:10:08 AM,2/10/2026 5:41:07 PM,0,0,-1.51643,-1,-0.861,0,30.1934,23.858,23.342,,0,-1.722
2/10/2026 1:00:00 AM,0,-1.28875,-0.2704175,28.3836,21.98,21.29,289.2433,14.5265,0,2/10/2026 7:10:08 AM,2/10/2026 5:41:07 PM,0,0,-1.54007,-1,-0.540835,0,28.3836,21.98,21.29,,0,-1.08167
2/10/2026 1:15:00 AM,0,-1.004833,-0.2795825,27.2913,20.084,19.628,289.555,14.545,0,2/10/2026 7:10:08 AM,2/10/2026 5:41:07 PM,0,0,-1.51841,0,-0.559165,0,27.2913,20.084,19.628,,0,-1.11833
2/10/2026 1:30:00 AM,0,-0.8074175,-0.2844175,26.8742,20.084,19.688,291.3207,14.6041,0,2/10/2026 7:10:08 AM,2/10/2026 5:41:07 PM,0,0,-1.5423,0,-0.568835,0,26.8742,20.084,19.688,,0,-1.13767
2/10/2026 1:45:00 AM,0,-0.6175825,-0.32175,27.0616,20.522,20.276,290.56,14.5788,1,2/10/2026 7:10:08 AM,2/10/2026 5:41:07 PM,0,0,-1.52514,0,-0.6435,0,27.0616,20.522,20.276,,0,-1.287
2/10/2026 2:00:00 AM,0,-0.56425,-0.3525,27.4764,20.864,21.488,291.412,14.6052,2,2/10/2026 7:10:08 AM,2/10/2026 5:41:07 PM,0,0,-1.54605,-1,-0.705,0,27.4764,20.864,21.488,,0,-1.41
