name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunazimuth,sunelevation,stations,source
Durango CO,2025-01-01T00:00:00,18.1,9.5,9.4,68.2,0,0,,0,0.51,11.9,6.2,6,1025,0,9.9,0,0,0,346.1,-75.3,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T01:00:00,18.1,8.1,9,67.1,0,0,,0,0.51,11.9,7.7,10,1024.6,0,9.9,0,0,0,37.1,-72.8,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T02:00:00,16.8,11.9,8.7,69.94,0,0,,0,0.51,12.3,3.1,53,1024.6,0,9.9,0,0,0,65,-63.3,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T03:00:00,12.4,12.4,6.8,77.66,0,0,,0,0.47,12.3,0,0,1025.2,0,9.9,0,0,0,79.8,-52,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T04:00:00,12.4,12.4,6.8,77.66,0,0,,0,0.47,11.9,2.2,53,1025.4,0,9.9,0,0,0,90,-40.1,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T05:00:00,12.8,3.2,7,77.08,0,0,,0,0.47,10.7,6.2,53,1025.6,0,9.9,0,0,0,98.5,-28.2,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T06:00:00,13.4,13.4,7.4,76.7,0,0,,0,0.47,9.4,2.7,40,1026.4,0,9.9,0,0,0,106.6,-16.6,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T07:00:00,17.8,10.4,10.4,72.35,0,0,,0,0.47,8.5,4.9,70,1027.3,0,9.9,0,0,0,114.8,-5.4,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T08:00:00,20,12.9,12.3,71.64,0,0,,0,0.47,8.1,5.1,63,1027.2,59.2,9.9,6,0,0,123.9,5.2,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T09:00:00,21.6,21.6,13.5,70.49,0,0,,0,0.47,8.3,2.7,50,1027.5,96,9.9,53,0.2,1,134.3,14.3,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T10:00:00,26.4,26.4,13,56.49,0,0,,0,0.47,7.8,1.1,60,1028.9,100,9.9,132,0.5,1,146.5,21.9,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T11:00:00,30.2,30.2,14.1,50.61,0,0,,0,0.47,12.3,1.6,60,1028.3,100,9.9,196,0.7,2,160.5,27.3,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T12:00:00,34.7,34.7,13,40.27,0,0,,0,0.43,16.3,1.6,35,1026.9,51.8,9.9,330,1.2,3,175.9,29.7,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T13:00:00,38,38,12.7,34.89,0,0,,0,0.39,19,1.1,0,1025.5,0,9.9,469,1.7,5,191.7,28.9,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T14:00:00,41,39.1,12.3,30.62,0,0,,0,0.35,20.1,3.4,200,1023.7,0,9.9,332,1.2,3,206.6,25,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T15:00:00,40.6,38.7,12.3,31.05,0,0,,0,0.35,19.9,3.4,250,1024.5,0,9.9,201,0.7,2,219.7,18.5,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T16:00:00,40.6,40.6,11.6,30,0,0,,0,0.35,17.7,1.1,40,1025,0,9.9,94,0.3,1,230.9,10,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T17:00:00,36.4,31.8,11.6,35.43,0,0,,0,0.43,13,5.4,113,1025.5,0,7.5,36,0.1,0,240.6,0.5,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T18:00:00,28.4,28.4,11.6,48.7,0,0,,0,0.43,10.3,1.9,45,1026.6,0,9.9,2,0,0,249.3,-10.7,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T19:00:00,25.3,19.2,11.6,55.4,0,0,,0,0.43,9.2,5,57,1026.8,18.3,9.9,0,0,0,257.4,-22.1,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T20:00:00,23.3,16.8,11,58.58,0,0,,0,0.43,8.7,5.1,63,1027.3,0,9.9,0,0,0,265.6,-33.9,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T21:00:00,20.4,13,10.1,63.75,0,0,,0,0.43,9.6,5.4,60,1027.9,33.2,9.9,0,0,0,274.7,-45.9,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T22:00:00,18.9,18.9,9,64.9,0,0,,0,0.43,10.5,2.3,30,1027.8,0,9.9,0,0,0,286.6,-57.6,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-01T23:00:00,21.7,12,10.7,61.91,0,0,,0,0.43,11,8.4,80,1027.2,0,9.9,0,0,0,306.2,-68.3,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-02T00:00:00,20,12.9,10.4,65.6,0,0,,0,0.43,10.7,5.1,97,1026.5,0,9.1,0,0,0,345.7,-75.2,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-02T01:00:00,19.4,12.2,10.4,67.3,0,0,,0,0.43,10.7,5.1,30,1026.2,0,9.9,0,0,0,36.6,-72.7,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-02T02:00:00,19.6,11.7,11,68.59,0,0,,0,0.43,10.7,5.8,73,1025.8,0,9.9,0,0,0,64.7,-63.4,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-02T03:00:00,19,19,10.4,68.52,0,0,,0,0.43,11.9,2.3,45,1026.4,0,9.1,0,0,0,79.6,-52,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-02T04:00:00,18.7,18.7,11.3,72.63,0,0,,0,0.43,12.5,2.7,40,1026.8,0,9.9,0,0,0,89.8,-40.1,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-02T05:00:00,20.4,16.1,11.9,69.25,0,0,,0,0.43,12.5,3.1,50,1027,0,9.9,0,0,0,98.4,-28.2,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-02T06:00:00,22.6,15.7,14.1,69.34,0,0,,0,0.43,12.8,5.3,90,1028.4,18.3,9.9,0,0,0,106.4,-16.6,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-02T07:00:00,21.6,21.6,14.1,72.37,0,0,,0,0.43,12.8,2.7,45,1029,0,9.9,0,0,0,114.7,-5.4,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-02T08:00:00,21,13.8,14.1,74.23,0,0,,0,0.43,12.3,5.3,87,1029.9,0,9.9,11,0,0,123.8,5.1,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-02T09:00:00,25.4,25.4,14.4,62.42,0,0,,0,0.43,13,2.7,55,1030.3,0,9.9,121,0.4,1,134.2,14.3,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-02T10:00:00,35,31.4,16.1,45.61,0,0,,0,0.39,12.3,4.2,80,1030.5,0,9.9,280,1,3,146.3,22,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-02T11:00:00,42.9,42.9,15,31.95,0,0,,0,0.31,13.6,2.3,60,1029.1,0,9.9,427,1.5,4,160.3,27.3,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-02T12:00:00,47.7,44.4,13.1,24.54,0,0,,0,0.28,17.7,6.9,130,1028.1,0,9.9,454,1.6,5,175.8,29.8,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-02T13:00:00,48.2,48.2,12.5,23.35,0,0,,0,0.2,19.5,0,0,1027.4,0,9.9,365,1.3,4,191.6,29,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-02T14:00:00,49.2,46.2,14.1,24.18,0,0,,0,0.16,19.2,6.9,254,1026.6,0,9.9,324,1.2,3,206.5,25.1,"TS761,72476793069,KCEZ,KFMN",obs
Durango CO,2025-01-02T15:00:00,47.1,43.2,15.1,27.41,0,0,,0,0.16,18.6,8.1,240,1026.2,0,9.9,205,0.7,2,219.7,18.6,"TS761,KDRO,USW00093005,72476793069,KCEZ,72462593005,KFMN",obs
Durango CO,2025-01-02T16:00:00,46.3,43.3,14.1,26.99,0,0,,0,0.16,16.6,6,221,1026.5,0,9.9,90,0.3,1,230.9,10.2,"TS761,KDRO,USW00093005,72476793069,KCEZ,72462593005,KFMN",obs
Durango CO,2025-01-02T17:00:00,43.1,43.1,12.9,28.94,0,0,,0,0.16,11.9,0.5,276,1026.9,0,9.9,35,0.1,0,240.6,0.7,"TS761,KDRO,USW00093005,72476793069,KCEZ,72462593005,KFMN",obs
Durango CO,2025-01-02T18:00:00,32.1,32.1,12.8,44.42,0,0,,0,0.16,11,0.2,294,1027.6,0,9.9,2,0,0,249.3,-10.6,"TS761,KDRO,USW00093005,72476793069,KCEZ,72462593005,KFMN",obs
Durango CO,2025-01-02T19:00:00,29.1,23.8,12.8,50.11,0,0,,0,0.16,10.3,4.9,74,1028.3,0,9.9,0,0,0,257.4,-22,"TS761,KDRO,USW00093005,72476793069,KCEZ,72462593005,KFMN",obs
Durango CO,2025-01-02T20:00:00,29.2,21.5,15.1,55.14,0,0,,0,0.16,11.6,7.8,8,1028.7,0,9.9,0,0,0,265.6,-33.8,"TS761,KDRO,USW00093005,72476793069,KCEZ,72462593005,KFMN",obs
Durango CO,2025-01-02T21:00:00,25,21,15,65.26,0,0,,0,0.16,11.6,3.3,30,1029.1,0,9.9,0,0,0,274.8,-45.7,"TS761,KDRO,USW00093005,72476793069,KCEZ,72462593005,KFMN",obs
Durango CO,2025-01-02T22:00:00,24,18,13.8,64.65,0,0,,0,0.16,11.6,4.8,53,1028.9,0,9.9,0,0,0,286.7,-57.4,"TS761,KDRO,USW00093005,72476793069,KCEZ,72462593005,KFMN",obs
